case_id,logical_event_id,timestamp,timestamp_confidence,logical_event_type,action,process_id,process,parent_process_ids,evidence_ids,source_observation_count,provenance,temporal_sequence,previous_timestamp,time_since_previous_event_seconds
M57-Jean,LEVT-M57-Jean-PROCESS-812-20091121013230,2009-11-21 01:32:30+00:00,observed,process_start,process_start,812,smss.exe,4,M57-Jean-MEM-PSLIST-1;M57-Jean-MEM-PSTREE-1,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,1,,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-908-20091121013232,2009-11-21 01:32:32+00:00,observed,process_start,process_start,908,csrss.exe,812,M57-Jean-MEM-PSLIST-2;M57-Jean-MEM-PSTREE-28,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,2,2009-11-21 01:32:30+00:00,2.0
M57-Jean,LEVT-M57-Jean-PROCESS-932-20091121013232,2009-11-21 01:32:32+00:00,observed,process_start,process_start,932,winlogon.exe,812,M57-Jean-MEM-PSLIST-3;M57-Jean-MEM-PSTREE-2,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,3,2009-11-21 01:32:32+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-976-20091121013232,2009-11-21 01:32:32+00:00,observed,process_start,process_start,976,services.exe,932,M57-Jean-MEM-PSLIST-4;M57-Jean-MEM-PSTREE-3,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,4,2009-11-21 01:32:32+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-988-20091121013232,2009-11-21 01:32:32+00:00,observed,process_start,process_start,988,lsass.exe,932,M57-Jean-MEM-PSLIST-5;M57-Jean-MEM-PSTREE-24,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,5,2009-11-21 01:32:32+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1152-20091121013234,2009-11-21 01:32:34+00:00,observed,process_start,process_start,1152,svchost.exe,976,M57-Jean-MEM-PSLIST-6;M57-Jean-MEM-PSTREE-4,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,6,2009-11-21 01:32:32+00:00,2.0
M57-Jean,LEVT-M57-Jean-PROCESS-1248-20091121013234,2009-11-21 01:32:34+00:00,observed,process_start,process_start,1248,svchost.exe,976,M57-Jean-MEM-PSLIST-7;M57-Jean-MEM-PSTREE-5,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,7,2009-11-21 01:32:34+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1372-20091121013235,2009-11-21 01:32:35+00:00,observed,process_start,process_start,1372,svchost.exe,976,M57-Jean-MEM-PSLIST-8;M57-Jean-MEM-PSTREE-23,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,8,2009-11-21 01:32:34+00:00,1.0
M57-Jean,LEVT-M57-Jean-PROCESS-1432-20091121013235,2009-11-21 01:32:35+00:00,observed,process_start,process_start,1432,svchost.exe,976,M57-Jean-MEM-PSLIST-9;M57-Jean-MEM-PSTREE-22,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,9,2009-11-21 01:32:35+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1612-20091121013235,2009-11-21 01:32:35+00:00,observed,process_start,process_start,1612,avgchsvx.exe,932,M57-Jean-MEM-PSLIST-10;M57-Jean-MEM-PSTREE-27,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,10,2009-11-21 01:32:35+00:00,0.0
