timeline_sequence,case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
1,M57-Jean,EVT-M57-Jean-PARENT-1,2009-11-21 01:32:30+00:00,,observed,memory,pstree,process_relationship,parent_of,,,smss.exe,,812,4.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-1,Volatility 3 windows.pstree from M57-Jean memory image
2,M57-Jean,EVT-M57-Jean-PROCESS-1,2009-11-21 01:32:30+00:00,,observed,memory,pslist,process,process_start,,,smss.exe,,812,4.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-1,Volatility 3 windows.pslist from M57-Jean memory image
3,M57-Jean,EVT-M57-Jean-PARENT-2,2009-11-21 01:32:32+00:00,,observed,memory,pstree,process_relationship,parent_of,,,winlogon.exe,,932,812.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-2,Volatility 3 windows.pstree from M57-Jean memory image
4,M57-Jean,EVT-M57-Jean-PARENT-24,2009-11-21 01:32:32+00:00,,observed,memory,pstree,process_relationship,parent_of,,,lsass.exe,,988,932.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-24,Volatility 3 windows.pstree from M57-Jean memory image
5,M57-Jean,EVT-M57-Jean-PARENT-28,2009-11-21 01:32:32+00:00,,observed,memory,pstree,process_relationship,parent_of,,,csrss.exe,,908,812.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-28,Volatility 3 windows.pstree from M57-Jean memory image
6,M57-Jean,EVT-M57-Jean-PARENT-3,2009-11-21 01:32:32+00:00,,observed,memory,pstree,process_relationship,parent_of,,,services.exe,,976,932.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-3,Volatility 3 windows.pstree from M57-Jean memory image
7,M57-Jean,EVT-M57-Jean-PROCESS-2,2009-11-21 01:32:32+00:00,,observed,memory,pslist,process,process_start,,,csrss.exe,,908,812.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-2,Volatility 3 windows.pslist from M57-Jean memory image
8,M57-Jean,EVT-M57-Jean-PROCESS-3,2009-11-21 01:32:32+00:00,,observed,memory,pslist,process,process_start,,,winlogon.exe,,932,812.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-3,Volatility 3 windows.pslist from M57-Jean memory image
9,M57-Jean,EVT-M57-Jean-PROCESS-4,2009-11-21 01:32:32+00:00,,observed,memory,pslist,process,process_start,,,services.exe,,976,932.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-4,Volatility 3 windows.pslist from M57-Jean memory image
10,M57-Jean,EVT-M57-Jean-PROCESS-5,2009-11-21 01:32:32+00:00,,observed,memory,pslist,process,process_start,,,lsass.exe,,988,932.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-5,Volatility 3 windows.pslist from M57-Jean memory image
