case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
M57-Jean,EVT-M57-Jean-PROCESS-0,,,unknown,memory,pslist,process,process_start,,,System,,4,0.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-0,Volatility 3 windows.pslist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-PARENT-0,,,unknown,memory,pstree,process_relationship,parent_of,,,System,,4,0.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-0,Volatility 3 windows.pstree from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-1,,,unknown,memory,cmdline,command_line,observed,,,smss.exe,,812,,\\SystemRoot\\System32\\smss.exe,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-1,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-2,,,unknown,memory,cmdline,command_line,observed,,,csrss.exe,,908,,"C:\\WINDOWS\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,3072,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ProfileControl=Off MaxRequestThreads=16",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-2,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-3,,,unknown,memory,cmdline,command_line,observed,,,winlogon.exe,,932,,winlogon.exe,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-3,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-4,,,unknown,memory,cmdline,command_line,observed,,,services.exe,,976,,C:\\WINDOWS\\system32\\services.exe,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-4,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-5,,,unknown,memory,cmdline,command_line,observed,,,lsass.exe,,988,,C:\\WINDOWS\\system32\\lsass.exe,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-5,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-6,,,unknown,memory,cmdline,command_line,observed,,,svchost.exe,,1152,,C:\\WINDOWS\\system32\\svchost -k DcomLaunch,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-6,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-7,,,unknown,memory,cmdline,command_line,observed,,,svchost.exe,,1248,,C:\\WINDOWS\\system32\\svchost -k rpcss,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-7,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-8,,,unknown,memory,cmdline,command_line,observed,,,svchost.exe,,1372,,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-8,Volatility 3 windows.cmdline from M57-Jean memory image
