case_id,process_id,process_name,anomaly_score,predicted_anomaly,parent_count,child_count,command_line_count,module_count,memory_region_count,event_types,parent_process_ids,child_process_ids,command_lines,evidence_ids
M57-Jean,3560,soffice.bin,0.2069897399324857,1,1,0,1,197,1,process;process_relationship;command_line;module;memory_region,3908,,"""C:\\Program Files\\OpenOffice.org 3\\program\\swriter.exe"" ""-o"" ""C:\\Documents and Settings\\Pat\\My Documents\\Will1.odt"" ""-writer"" ""-env:OOO_CWD=2C:\\\\Documents and Settings\\\\Pat\\\\My Documents""",M57-Jean-MEM-PSLIST-43;M57-Jean-MEM-PSTREE-33;M57-Jean-MEM-CMDLINE-43;M57-Jean-MEM-DLL-1289;M57-Jean-MEM-DLL-1290;M57-Jean-MEM-DLL-1291;M57-Jean-MEM-DLL-1292;M57-Jean-MEM-DLL-1293;M57-Jean-MEM-DLL-1294;M57-Jean-MEM-DLL-1295;M57-Jean-MEM-DLL-1296;M57-Jean-MEM-DLL-1297;M57-Jean-MEM-DLL-1298;M57-Jean-MEM-DLL-1299;M57-Jean-MEM-DLL-1300;M57-Jean-MEM-DLL-1301;M57-Jean-MEM-DLL-1302;M57-Jean-MEM-DLL-1303;M57-Jean-MEM-DLL-1304;M57-Jean-MEM-DLL-1305;M57-Jean-MEM-DLL-1306;M57-Jean-MEM-DLL-1307;M57-Jean-MEM-DLL-1308;M57-Jean-MEM-DLL-1309;M57-Jean-MEM-DLL-1310;M57-Jean-MEM-DLL-1311;M57-Jean-MEM-DLL-1312;M57-Jean-MEM-DLL-1313;M57-Jean-MEM-DLL-1314;M57-Jean-MEM-DLL-1315;M57-Jean-MEM-DLL-1316;M57-Jean-MEM-DLL-1317;M57-Jean-MEM-DLL-1318;M57-Jean-MEM-DLL-1319;M57-Jean-MEM-DLL-1320;M57-Jean-MEM-DLL-1321;M57-Jean-MEM-DLL-1322;M57-Jean-MEM-DLL-1323;M57-Jean-MEM-DLL-1324;M57-Jean-MEM-DLL-1325;M57-Jean-MEM-DLL-1326;M57-Jean-MEM-DLL-1327;M57-Jean-MEM-DLL-1328;M57-Jean-MEM-DLL-1329;M57-Jean-MEM-DLL-1330;M57-Jean-MEM-DLL-1331;M57-Jean-MEM-DLL-1332;M57-Jean-MEM-DLL-1333;M57-Jean-MEM-DLL-1334;M57-Jean-MEM-DLL-1335;M57-Jean-MEM-DLL-1336;M57-Jean-MEM-DLL-1337;M57-Jean-MEM-DLL-1338;M57-Jean-MEM-DLL-1339;M57-Jean-MEM-DLL-1340;M57-Jean-MEM-DLL-1341;M57-Jean-MEM-DLL-1342;M57-Jean-MEM-DLL-1343;M57-Jean-MEM-DLL-1344;M57-Jean-MEM-DLL-1345;M57-Jean-MEM-DLL-1346;M57-Jean-MEM-DLL-1347;M57-Jean-MEM-DLL-1348;M57-Jean-MEM-DLL-1349;M57-Jean-MEM-DLL-1350;M57-Jean-MEM-DLL-1351;M57-Jean-MEM-DLL-1352;M57-Jean-MEM-DLL-1353;M57-Jean-MEM-DLL-1354;M57-Jean-MEM-DLL-1355;M57-Jean-MEM-DLL-1356;M57-Jean-MEM-DLL-1357;M57-Jean-MEM-DLL-1358;M57-Jean-MEM-DLL-1359;M57-Jean-MEM-DLL-1360;M57-Jean-MEM-DLL-1361;M57-Jean-MEM-DLL-1362;M57-Jean-MEM-DLL-1363;M57-Jean-MEM-DLL-1364;M57-Jean-MEM-DLL-1365;M57-Jean-MEM-DLL-1366;M57-Jean-MEM-DLL-1367;M57-Jean-MEM-DLL-1368;M57-Jean-MEM-DLL-1369;M57-Jean-MEM-DLL-1370;M57-Jean-MEM-DLL-1371;M57-Jean-MEM-DLL-1372;M57-Jean-MEM-DLL-1373;M57-Jean-MEM-DLL-1374;M57-Jean-MEM-DLL-1375;M57-Jean-MEM-DLL-1376;M57-Jean-MEM-DLL-1377;M57-Jean-MEM-DLL-1378;M57-Jean-MEM-DLL-1379;M57-Jean-MEM-DLL-1380;M57-Jean-MEM-DLL-1381;M57-Jean-MEM-DLL-1382;M57-Jean-MEM-DLL-1383;M57-Jean-MEM-DLL-1384;M57-Jean-MEM-DLL-1385;M57-Jean-MEM-DLL-1386;M57-Jean-MEM-DLL-1387;M57-Jean-MEM-DLL-1388;M57-Jean-MEM-DLL-1389;M57-Jean-MEM-DLL-1390;M57-Jean-MEM-DLL-1391;M57-Jean-MEM-DLL-1392;M57-Jean-MEM-DLL-1393;M57-Jean-MEM-DLL-1394;M57-Jean-MEM-DLL-1395;M57-Jean-MEM-DLL-1396;M57-Jean-MEM-DLL-1397;M57-Jean-MEM-DLL-1398;M57-Jean-MEM-DLL-1399;M57-Jean-MEM-DLL-1400;M57-Jean-MEM-DLL-1401;M57-Jean-MEM-DLL-1402;M57-Jean-MEM-DLL-1403;M57-Jean-MEM-DLL-1404;M57-Jean-MEM-DLL-1405;M57-Jean-MEM-DLL-1406;M57-Jean-MEM-DLL-1407;M57-Jean-MEM-DLL-1408;M57-Jean-MEM-DLL-1409;M57-Jean-MEM-DLL-1410;M57-Jean-MEM-DLL-1411;M57-Jean-MEM-DLL-1412;M57-Jean-MEM-DLL-1413;M57-Jean-MEM-DLL-1414;M57-Jean-MEM-DLL-1415;M57-Jean-MEM-DLL-1416;M57-Jean-MEM-DLL-1417;M57-Jean-MEM-DLL-1418;M57-Jean-MEM-DLL-1419;M57-Jean-MEM-DLL-1420;M57-Jean-MEM-DLL-1421;M57-Jean-MEM-DLL-1422;M57-Jean-MEM-DLL-1423;M57-Jean-MEM-DLL-1424;M57-Jean-MEM-DLL-1425;M57-Jean-MEM-DLL-1426;M57-Jean-MEM-DLL-1427;M57-Jean-MEM-DLL-1428;M57-Jean-MEM-DLL-1429;M57-Jean-MEM-DLL-1430;M57-Jean-MEM-DLL-1431;M57-Jean-MEM-DLL-1432;M57-Jean-MEM-DLL-1433;M57-Jean-MEM-DLL-1434;M57-Jean-MEM-DLL-1435;M57-Jean-MEM-DLL-1436;M57-Jean-MEM-DLL-1437;M57-Jean-MEM-DLL-1438;M57-Jean-MEM-DLL-1439;M57-Jean-MEM-DLL-1440;M57-Jean-MEM-DLL-1441;M57-Jean-MEM-DLL-1442;M57-Jean-MEM-DLL-1443;M57-Jean-MEM-DLL-1444;M57-Jean-MEM-DLL-1445;M57-Jean-MEM-DLL-1446;M57-Jean-MEM-DLL-1447;M57-Jean-MEM-DLL-1448;M57-Jean-MEM-DLL-1449;M57-Jean-MEM-DLL-1450;M57-Jean-MEM-DLL-1451;M57-Jean-MEM-DLL-1452;M57-Jean-MEM-DLL-1453;M57-Jean-MEM-DLL-1454;M57-Jean-MEM-DLL-1455;M57-Jean-MEM-DLL-1456;M57-Jean-MEM-DLL-1457;M57-Jean-MEM-DLL-1458;M57-Jean-MEM-DLL-1459;M57-Jean-MEM-DLL-1460;M57-Jean-MEM-DLL-1461;M57-Jean-MEM-DLL-1462;M57-Jean-MEM-DLL-1463;M57-Jean-MEM-DLL-1464;M57-Jean-MEM-DLL-1465;M57-Jean-MEM-DLL-1466;M57-Jean-MEM-DLL-1467;M57-Jean-MEM-DLL-1468;M57-Jean-MEM-DLL-1469;M57-Jean-MEM-DLL-1470;M57-Jean-MEM-DLL-1471;M57-Jean-MEM-DLL-1472;M57-Jean-MEM-DLL-1473;M57-Jean-MEM-DLL-1474;M57-Jean-MEM-DLL-1475;M57-Jean-MEM-DLL-1476;M57-Jean-MEM-DLL-1477;M57-Jean-MEM-DLL-1478;M57-Jean-MEM-DLL-1479;M57-Jean-MEM-DLL-1480;M57-Jean-MEM-DLL-1481;M57-Jean-MEM-DLL-1482;M57-Jean-MEM-DLL-1483;M57-Jean-MEM-DLL-1484;M57-Jean-MEM-DLL-1485;M57-Jean-MEM-MALFIND-48
M57-Jean,208,msimn.exe,0.1583945082880591,1,1,0,1,90,2,process;process_relationship;command_line;module;memory_region,1944,,"""C:\\Program Files\\Outlook Express\\msimn.exe""",M57-Jean-MEM-PSLIST-34;M57-Jean-MEM-PSTREE-41;M57-Jean-MEM-CMDLINE-34;M57-Jean-MEM-DLL-1081;M57-Jean-MEM-DLL-1082;M57-Jean-MEM-DLL-1083;M57-Jean-MEM-DLL-1084;M57-Jean-MEM-DLL-1085;M57-Jean-MEM-DLL-1086;M57-Jean-MEM-DLL-1087;M57-Jean-MEM-DLL-1088;M57-Jean-MEM-DLL-1089;M57-Jean-MEM-DLL-1090;M57-Jean-MEM-DLL-1091;M57-Jean-MEM-DLL-1092;M57-Jean-MEM-DLL-1093;M57-Jean-MEM-DLL-1094;M57-Jean-MEM-DLL-1095;M57-Jean-MEM-DLL-1096;M57-Jean-MEM-DLL-1097;M57-Jean-MEM-DLL-1098;M57-Jean-MEM-DLL-1099;M57-Jean-MEM-DLL-1100;M57-Jean-MEM-DLL-1101;M57-Jean-MEM-DLL-1102;M57-Jean-MEM-DLL-1103;M57-Jean-MEM-DLL-1104;M57-Jean-MEM-DLL-1105;M57-Jean-MEM-DLL-1106;M57-Jean-MEM-DLL-1107;M57-Jean-MEM-DLL-1108;M57-Jean-MEM-DLL-1109;M57-Jean-MEM-DLL-1110;M57-Jean-MEM-DLL-1111;M57-Jean-MEM-DLL-1112;M57-Jean-MEM-DLL-1113;M57-Jean-MEM-DLL-1114;M57-Jean-MEM-DLL-1115;M57-Jean-MEM-DLL-1116;M57-Jean-MEM-DLL-1117;M57-Jean-MEM-DLL-1118;M57-Jean-MEM-DLL-1119;M57-Jean-MEM-DLL-1120;M57-Jean-MEM-DLL-1121;M57-Jean-MEM-DLL-1122;M57-Jean-MEM-DLL-1123;M57-Jean-MEM-DLL-1124;M57-Jean-MEM-DLL-1125;M57-Jean-MEM-DLL-1126;M57-Jean-MEM-DLL-1127;M57-Jean-MEM-DLL-1128;M57-Jean-MEM-DLL-1129;M57-Jean-MEM-DLL-1130;M57-Jean-MEM-DLL-1131;M57-Jean-MEM-DLL-1132;M57-Jean-MEM-DLL-1133;M57-Jean-MEM-DLL-1134;M57-Jean-MEM-DLL-1135;M57-Jean-MEM-DLL-1136;M57-Jean-MEM-DLL-1137;M57-Jean-MEM-DLL-1138;M57-Jean-MEM-DLL-1139;M57-Jean-MEM-DLL-1140;M57-Jean-MEM-DLL-1141;M57-Jean-MEM-DLL-1142;M57-Jean-MEM-DLL-1143;M57-Jean-MEM-DLL-1144;M57-Jean-MEM-DLL-1145;M57-Jean-MEM-DLL-1146;M57-Jean-MEM-DLL-1147;M57-Jean-MEM-DLL-1148;M57-Jean-MEM-DLL-1149;M57-Jean-MEM-DLL-1150;M57-Jean-MEM-DLL-1151;M57-Jean-MEM-DLL-1152;M57-Jean-MEM-DLL-1153;M57-Jean-MEM-DLL-1154;M57-Jean-MEM-DLL-1155;M57-Jean-MEM-DLL-1156;M57-Jean-MEM-DLL-1157;M57-Jean-MEM-DLL-1158;M57-Jean-MEM-DLL-1159;M57-Jean-MEM-DLL-1160;M57-Jean-MEM-DLL-1161;M57-Jean-MEM-DLL-1162;M57-Jean-MEM-DLL-1163;M57-Jean-MEM-DLL-1164;M57-Jean-MEM-DLL-1165;M57-Jean-MEM-DLL-1166;M57-Jean-MEM-DLL-1167;M57-Jean-MEM-DLL-1168;M57-Jean-MEM-DLL-1169;M57-Jean-MEM-DLL-1170;M57-Jean-MEM-MALFIND-33;M57-Jean-MEM-MALFIND-34
M57-Jean,2892,firefox.exe,0.1543842982124978,1,1,0,1,87,13,process;process_relationship;command_line;module;memory_region,1944,,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",M57-Jean-MEM-PSLIST-39;M57-Jean-MEM-PSTREE-37;M57-Jean-MEM-CMDLINE-39;M57-Jean-MEM-DLL-1171;M57-Jean-MEM-DLL-1172;M57-Jean-MEM-DLL-1173;M57-Jean-MEM-DLL-1174;M57-Jean-MEM-DLL-1175;M57-Jean-MEM-DLL-1176;M57-Jean-MEM-DLL-1177;M57-Jean-MEM-DLL-1178;M57-Jean-MEM-DLL-1179;M57-Jean-MEM-DLL-1180;M57-Jean-MEM-DLL-1181;M57-Jean-MEM-DLL-1182;M57-Jean-MEM-DLL-1183;M57-Jean-MEM-DLL-1184;M57-Jean-MEM-DLL-1185;M57-Jean-MEM-DLL-1186;M57-Jean-MEM-DLL-1187;M57-Jean-MEM-DLL-1188;M57-Jean-MEM-DLL-1189;M57-Jean-MEM-DLL-1190;M57-Jean-MEM-DLL-1191;M57-Jean-MEM-DLL-1192;M57-Jean-MEM-DLL-1193;M57-Jean-MEM-DLL-1194;M57-Jean-MEM-DLL-1195;M57-Jean-MEM-DLL-1196;M57-Jean-MEM-DLL-1197;M57-Jean-MEM-DLL-1198;M57-Jean-MEM-DLL-1199;M57-Jean-MEM-DLL-1200;M57-Jean-MEM-DLL-1201;M57-Jean-MEM-DLL-1202;M57-Jean-MEM-DLL-1203;M57-Jean-MEM-DLL-1204;M57-Jean-MEM-DLL-1205;M57-Jean-MEM-DLL-1206;M57-Jean-MEM-DLL-1207;M57-Jean-MEM-DLL-1208;M57-Jean-MEM-DLL-1209;M57-Jean-MEM-DLL-1210;M57-Jean-MEM-DLL-1211;M57-Jean-MEM-DLL-1212;M57-Jean-MEM-DLL-1213;M57-Jean-MEM-DLL-1214;M57-Jean-MEM-DLL-1215;M57-Jean-MEM-DLL-1216;M57-Jean-MEM-DLL-1217;M57-Jean-MEM-DLL-1218;M57-Jean-MEM-DLL-1219;M57-Jean-MEM-DLL-1220;M57-Jean-MEM-DLL-1221;M57-Jean-MEM-DLL-1222;M57-Jean-MEM-DLL-1223;M57-Jean-MEM-DLL-1224;M57-Jean-MEM-DLL-1225;M57-Jean-MEM-DLL-1226;M57-Jean-MEM-DLL-1227;M57-Jean-MEM-DLL-1228;M57-Jean-MEM-DLL-1229;M57-Jean-MEM-DLL-1230;M57-Jean-MEM-DLL-1231;M57-Jean-MEM-DLL-1232;M57-Jean-MEM-DLL-1233;M57-Jean-MEM-DLL-1234;M57-Jean-MEM-DLL-1235;M57-Jean-MEM-DLL-1236;M57-Jean-MEM-DLL-1237;M57-Jean-MEM-DLL-1238;M57-Jean-MEM-DLL-1239;M57-Jean-MEM-DLL-1240;M57-Jean-MEM-DLL-1241;M57-Jean-MEM-DLL-1242;M57-Jean-MEM-DLL-1243;M57-Jean-MEM-DLL-1244;M57-Jean-MEM-DLL-1245;M57-Jean-MEM-DLL-1246;M57-Jean-MEM-DLL-1247;M57-Jean-MEM-DLL-1248;M57-Jean-MEM-DLL-1249;M57-Jean-MEM-DLL-1250;M57-Jean-MEM-DLL-1251;M57-Jean-MEM-DLL-1252;M57-Jean-MEM-DLL-1253;M57-Jean-MEM-DLL-1254;M57-Jean-MEM-DLL-1255;M57-Jean-MEM-DLL-1256;M57-Jean-MEM-DLL-1257;M57-Jean-MEM-MALFIND-35;M57-Jean-MEM-MALFIND-36;M57-Jean-MEM-MALFIND-37;M57-Jean-MEM-MALFIND-38;M57-Jean-MEM-MALFIND-39;M57-Jean-MEM-MALFIND-40;M57-Jean-MEM-MALFIND-41;M57-Jean-MEM-MALFIND-42;M57-Jean-MEM-MALFIND-43;M57-Jean-MEM-MALFIND-44;M57-Jean-MEM-MALFIND-45;M57-Jean-MEM-MALFIND-46;M57-Jean-MEM-MALFIND-47
M57-Jean,1372,svchost.exe,0.1397066750351763,1,1,0,1,168,2,process;process_relationship;command_line;module;memory_region,976,,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs,M57-Jean-MEM-PSLIST-8;M57-Jean-MEM-PSTREE-23;M57-Jean-MEM-CMDLINE-8;M57-Jean-MEM-DLL-271;M57-Jean-MEM-DLL-272;M57-Jean-MEM-DLL-273;M57-Jean-MEM-DLL-274;M57-Jean-MEM-DLL-275;M57-Jean-MEM-DLL-276;M57-Jean-MEM-DLL-277;M57-Jean-MEM-DLL-278;M57-Jean-MEM-DLL-279;M57-Jean-MEM-DLL-280;M57-Jean-MEM-DLL-281;M57-Jean-MEM-DLL-282;M57-Jean-MEM-DLL-283;M57-Jean-MEM-DLL-284;M57-Jean-MEM-DLL-285;M57-Jean-MEM-DLL-286;M57-Jean-MEM-DLL-287;M57-Jean-MEM-DLL-288;M57-Jean-MEM-DLL-289;M57-Jean-MEM-DLL-290;M57-Jean-MEM-DLL-291;M57-Jean-MEM-DLL-292;M57-Jean-MEM-DLL-293;M57-Jean-MEM-DLL-294;M57-Jean-MEM-DLL-295;M57-Jean-MEM-DLL-296;M57-Jean-MEM-DLL-297;M57-Jean-MEM-DLL-298;M57-Jean-MEM-DLL-299;M57-Jean-MEM-DLL-300;M57-Jean-MEM-DLL-301;M57-Jean-MEM-DLL-302;M57-Jean-MEM-DLL-303;M57-Jean-MEM-DLL-304;M57-Jean-MEM-DLL-305;M57-Jean-MEM-DLL-306;M57-Jean-MEM-DLL-307;M57-Jean-MEM-DLL-308;M57-Jean-MEM-DLL-309;M57-Jean-MEM-DLL-310;M57-Jean-MEM-DLL-311;M57-Jean-MEM-DLL-312;M57-Jean-MEM-DLL-313;M57-Jean-MEM-DLL-314;M57-Jean-MEM-DLL-315;M57-Jean-MEM-DLL-316;M57-Jean-MEM-DLL-317;M57-Jean-MEM-DLL-318;M57-Jean-MEM-DLL-319;M57-Jean-MEM-DLL-320;M57-Jean-MEM-DLL-321;M57-Jean-MEM-DLL-322;M57-Jean-MEM-DLL-323;M57-Jean-MEM-DLL-324;M57-Jean-MEM-DLL-325;M57-Jean-MEM-DLL-326;M57-Jean-MEM-DLL-327;M57-Jean-MEM-DLL-328;M57-Jean-MEM-DLL-329;M57-Jean-MEM-DLL-330;M57-Jean-MEM-DLL-331;M57-Jean-MEM-DLL-332;M57-Jean-MEM-DLL-333;M57-Jean-MEM-DLL-334;M57-Jean-MEM-DLL-335;M57-Jean-MEM-DLL-336;M57-Jean-MEM-DLL-337;M57-Jean-MEM-DLL-338;M57-Jean-MEM-DLL-339;M57-Jean-MEM-DLL-340;M57-Jean-MEM-DLL-341;M57-Jean-MEM-DLL-342;M57-Jean-MEM-DLL-343;M57-Jean-MEM-DLL-344;M57-Jean-MEM-DLL-345;M57-Jean-MEM-DLL-346;M57-Jean-MEM-DLL-347;M57-Jean-MEM-DLL-348;M57-Jean-MEM-DLL-349;M57-Jean-MEM-DLL-350;M57-Jean-MEM-DLL-351;M57-Jean-MEM-DLL-352;M57-Jean-MEM-DLL-353;M57-Jean-MEM-DLL-354;M57-Jean-MEM-DLL-355;M57-Jean-MEM-DLL-356;M57-Jean-MEM-DLL-357;M57-Jean-MEM-DLL-358;M57-Jean-MEM-DLL-359;M57-Jean-MEM-DLL-360;M57-Jean-MEM-DLL-361;M57-Jean-MEM-DLL-362;M57-Jean-MEM-DLL-363;M57-Jean-MEM-DLL-364;M57-Jean-MEM-DLL-365;M57-Jean-MEM-DLL-366;M57-Jean-MEM-DLL-367;M57-Jean-MEM-DLL-368;M57-Jean-MEM-DLL-369;M57-Jean-MEM-DLL-370;M57-Jean-MEM-DLL-371;M57-Jean-MEM-DLL-372;M57-Jean-MEM-DLL-373;M57-Jean-MEM-DLL-374;M57-Jean-MEM-DLL-375;M57-Jean-MEM-DLL-376;M57-Jean-MEM-DLL-377;M57-Jean-MEM-DLL-378;M57-Jean-MEM-DLL-379;M57-Jean-MEM-DLL-380;M57-Jean-MEM-DLL-381;M57-Jean-MEM-DLL-382;M57-Jean-MEM-DLL-383;M57-Jean-MEM-DLL-384;M57-Jean-MEM-DLL-385;M57-Jean-MEM-DLL-386;M57-Jean-MEM-DLL-387;M57-Jean-MEM-DLL-388;M57-Jean-MEM-DLL-389;M57-Jean-MEM-DLL-390;M57-Jean-MEM-DLL-391;M57-Jean-MEM-DLL-392;M57-Jean-MEM-DLL-393;M57-Jean-MEM-DLL-394;M57-Jean-MEM-DLL-395;M57-Jean-MEM-DLL-396;M57-Jean-MEM-DLL-397;M57-Jean-MEM-DLL-398;M57-Jean-MEM-DLL-399;M57-Jean-MEM-DLL-400;M57-Jean-MEM-DLL-401;M57-Jean-MEM-DLL-402;M57-Jean-MEM-DLL-403;M57-Jean-MEM-DLL-404;M57-Jean-MEM-DLL-405;M57-Jean-MEM-DLL-406;M57-Jean-MEM-DLL-407;M57-Jean-MEM-DLL-408;M57-Jean-MEM-DLL-409;M57-Jean-MEM-DLL-410;M57-Jean-MEM-DLL-411;M57-Jean-MEM-DLL-412;M57-Jean-MEM-DLL-413;M57-Jean-MEM-DLL-414;M57-Jean-MEM-DLL-415;M57-Jean-MEM-DLL-416;M57-Jean-MEM-DLL-417;M57-Jean-MEM-DLL-418;M57-Jean-MEM-DLL-419;M57-Jean-MEM-DLL-420;M57-Jean-MEM-DLL-421;M57-Jean-MEM-DLL-422;M57-Jean-MEM-DLL-423;M57-Jean-MEM-DLL-424;M57-Jean-MEM-DLL-425;M57-Jean-MEM-DLL-426;M57-Jean-MEM-DLL-427;M57-Jean-MEM-DLL-428;M57-Jean-MEM-DLL-429;M57-Jean-MEM-DLL-430;M57-Jean-MEM-DLL-431;M57-Jean-MEM-DLL-432;M57-Jean-MEM-DLL-433;M57-Jean-MEM-DLL-434;M57-Jean-MEM-DLL-435;M57-Jean-MEM-DLL-436;M57-Jean-MEM-DLL-437;M57-Jean-MEM-DLL-438;M57-Jean-MEM-MALFIND-8;M57-Jean-MEM-MALFIND-9
M57-Jean,4,System,0.0887006689096407,1,1,1,0,0,0,process;process_relationship,0,812,,M57-Jean-MEM-PSLIST-0;M57-Jean-MEM-PSTREE-0
M57-Jean,1944,explorer.exe,0.0739959665267708,1,1,9,1,109,3,process;process_relationship;command_line;module;memory_region,1972,"1504,2080,1508,1676,2892,620,1752,208,1528",C:\\WINDOWS\\Explorer.EXE,M57-Jean-MEM-PSLIST-20;M57-Jean-MEM-PSTREE-29;M57-Jean-MEM-CMDLINE-20;M57-Jean-MEM-DLL-831;M57-Jean-MEM-DLL-832;M57-Jean-MEM-DLL-833;M57-Jean-MEM-DLL-834;M57-Jean-MEM-DLL-835;M57-Jean-MEM-DLL-836;M57-Jean-MEM-DLL-837;M57-Jean-MEM-DLL-838;M57-Jean-MEM-DLL-839;M57-Jean-MEM-DLL-840;M57-Jean-MEM-DLL-841;M57-Jean-MEM-DLL-842;M57-Jean-MEM-DLL-843;M57-Jean-MEM-DLL-844;M57-Jean-MEM-DLL-845;M57-Jean-MEM-DLL-846;M57-Jean-MEM-DLL-847;M57-Jean-MEM-DLL-848;M57-Jean-MEM-DLL-849;M57-Jean-MEM-DLL-850;M57-Jean-MEM-DLL-851;M57-Jean-MEM-DLL-852;M57-Jean-MEM-DLL-853;M57-Jean-MEM-DLL-854;M57-Jean-MEM-DLL-855;M57-Jean-MEM-DLL-856;M57-Jean-MEM-DLL-857;M57-Jean-MEM-DLL-858;M57-Jean-MEM-DLL-859;M57-Jean-MEM-DLL-860;M57-Jean-MEM-DLL-861;M57-Jean-MEM-DLL-862;M57-Jean-MEM-DLL-863;M57-Jean-MEM-DLL-864;M57-Jean-MEM-DLL-865;M57-Jean-MEM-DLL-866;M57-Jean-MEM-DLL-867;M57-Jean-MEM-DLL-868;M57-Jean-MEM-DLL-869;M57-Jean-MEM-DLL-870;M57-Jean-MEM-DLL-871;M57-Jean-MEM-DLL-872;M57-Jean-MEM-DLL-873;M57-Jean-MEM-DLL-874;M57-Jean-MEM-DLL-875;M57-Jean-MEM-DLL-876;M57-Jean-MEM-DLL-877;M57-Jean-MEM-DLL-878;M57-Jean-MEM-DLL-879;M57-Jean-MEM-DLL-880;M57-Jean-MEM-DLL-881;M57-Jean-MEM-DLL-882;M57-Jean-MEM-DLL-883;M57-Jean-MEM-DLL-884;M57-Jean-MEM-DLL-885;M57-Jean-MEM-DLL-886;M57-Jean-MEM-DLL-887;M57-Jean-MEM-DLL-888;M57-Jean-MEM-DLL-889;M57-Jean-MEM-DLL-890;M57-Jean-MEM-DLL-891;M57-Jean-MEM-DLL-892;M57-Jean-MEM-DLL-893;M57-Jean-MEM-DLL-894;M57-Jean-MEM-DLL-895;M57-Jean-MEM-DLL-896;M57-Jean-MEM-DLL-897;M57-Jean-MEM-DLL-898;M57-Jean-MEM-DLL-899;M57-Jean-MEM-DLL-900;M57-Jean-MEM-DLL-901;M57-Jean-MEM-DLL-902;M57-Jean-MEM-DLL-903;M57-Jean-MEM-DLL-904;M57-Jean-MEM-DLL-905;M57-Jean-MEM-DLL-906;M57-Jean-MEM-DLL-907;M57-Jean-MEM-DLL-908;M57-Jean-MEM-DLL-909;M57-Jean-MEM-DLL-910;M57-Jean-MEM-DLL-911;M57-Jean-MEM-DLL-912;M57-Jean-MEM-DLL-913;M57-Jean-MEM-DLL-914;M57-Jean-MEM-DLL-915;M57-Jean-MEM-DLL-916;M57-Jean-MEM-DLL-917;M57-Jean-MEM-DLL-918;M57-Jean-MEM-DLL-919;M57-Jean-MEM-DLL-920;M57-Jean-MEM-DLL-921;M57-Jean-MEM-DLL-922;M57-Jean-MEM-DLL-923;M57-Jean-MEM-DLL-924;M57-Jean-MEM-DLL-925;M57-Jean-MEM-DLL-926;M57-Jean-MEM-DLL-927;M57-Jean-MEM-DLL-928;M57-Jean-MEM-DLL-929;M57-Jean-MEM-DLL-930;M57-Jean-MEM-DLL-931;M57-Jean-MEM-DLL-932;M57-Jean-MEM-DLL-933;M57-Jean-MEM-DLL-934;M57-Jean-MEM-DLL-935;M57-Jean-MEM-DLL-936;M57-Jean-MEM-DLL-937;M57-Jean-MEM-DLL-938;M57-Jean-MEM-DLL-939;M57-Jean-MEM-MALFIND-19;M57-Jean-MEM-MALFIND-20;M57-Jean-MEM-MALFIND-21
M57-Jean,1204,iexplore.exe,0.0535883621457616,1,1,0,0,0,0,process;process_relationship,3180,,,M57-Jean-MEM-PSLIST-33;M57-Jean-MEM-PSTREE-43
M57-Jean,3196,avgsrmax.exe,0.0483419698096492,1,1,0,0,0,0,process;process_relationship,1664,,,M57-Jean-MEM-PSLIST-38;M57-Jean-MEM-PSTREE-12
M57-Jean,1836,AVGIDSMonitor.e,0.0438482099698102,1,1,0,0,0,3,process;process_relationship;memory_region,1508,,,M57-Jean-MEM-PSLIST-26;M57-Jean-MEM-PSTREE-35;M57-Jean-MEM-MALFIND-29;M57-Jean-MEM-MALFIND-30;M57-Jean-MEM-MALFIND-31
M57-Jean,620,cmd.exe,0.0426380823720765,1,1,1,1,23,0,process;process_relationship;command_line;module,1944,2992,"""C:\\WINDOWS\\system32\\cmd.exe""",M57-Jean-MEM-PSLIST-46;M57-Jean-MEM-PSTREE-38;M57-Jean-MEM-CMDLINE-46;M57-Jean-MEM-DLL-1486;M57-Jean-MEM-DLL-1487;M57-Jean-MEM-DLL-1488;M57-Jean-MEM-DLL-1489;M57-Jean-MEM-DLL-1490;M57-Jean-MEM-DLL-1491;M57-Jean-MEM-DLL-1492;M57-Jean-MEM-DLL-1493;M57-Jean-MEM-DLL-1494;M57-Jean-MEM-DLL-1495;M57-Jean-MEM-DLL-1496;M57-Jean-MEM-DLL-1497;M57-Jean-MEM-DLL-1498;M57-Jean-MEM-DLL-1499;M57-Jean-MEM-DLL-1500;M57-Jean-MEM-DLL-1501;M57-Jean-MEM-DLL-1502;M57-Jean-MEM-DLL-1503;M57-Jean-MEM-DLL-1504;M57-Jean-MEM-DLL-1505;M57-Jean-MEM-DLL-1506;M57-Jean-MEM-DLL-1507;M57-Jean-MEM-DLL-1508
