case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_only_anomaly_score,graph_only_predicted_anomaly,graph_only_anomaly_rank
M57-Jean,LEVT-M57-Jean-PROCESS-3560-20091123221635,43,2009-11-23 22:16:35+00:00,3560,soffice.bin,0.10363089467897235,True,1
M57-Jean,LEVT-M57-Jean-PROCESS-1944-20091121013301,20,2009-11-21 01:33:01+00:00,1944,explorer.exe,0.051635701686646995,True,2
M57-Jean,LEVT-M57-Jean-PROCESS-1372-20091121013235,8,2009-11-21 01:32:35+00:00,1372,svchost.exe,0.049069168513683814,True,3
M57-Jean,LEVT-M57-Jean-PROCESS-2892-20091123220335,39,2009-11-23 22:03:35+00:00,2892,firefox.exe,0.02584524209340222,True,4
M57-Jean,LEVT-M57-Jean-PROCESS-1836-20091121013308,26,2009-11-21 01:33:08+00:00,1836,AVGIDSMonitor.e,0.007677698279471068,True,5
M57-Jean,LEVT-M57-Jean-PROCESS-1572-20091121013258,16,2009-11-21 01:32:58+00:00,1572,svchost.exe,-0.005118465519647342,False,6
M57-Jean,LEVT-M57-Jean-PROCESS-976-20091121013232,4,2009-11-21 01:32:32+00:00,976,services.exe,-0.0068940157268762015,False,7
M57-Jean,LEVT-M57-Jean-PROCESS-1796-20091121013301,19,2009-11-21 01:33:01+00:00,1796,avgfws9.exe,-0.031506223970201086,False,8
M57-Jean,LEVT-M57-Jean-PROCESS-812-20091121013230,1,2009-11-21 01:32:30+00:00,812,smss.exe,-0.04085256528536729,False,9
M57-Jean,LEVT-M57-Jean-PROCESS-932-20091121013232,3,2009-11-21 01:32:32+00:00,932,winlogon.exe,-0.06966024789363678,False,10
M57-Jean,LEVT-M57-Jean-PROCESS-1528-20091121013305,23,2009-11-21 01:33:05+00:00,1528,jusched.exe,-0.09104195191224923,False,11
M57-Jean,LEVT-M57-Jean-PROCESS-1504-20091121013305,21,2009-11-21 01:33:05+00:00,1504,hkcmd.exe,-0.09104195191224923,False,12
M57-Jean,LEVT-M57-Jean-PROCESS-1676-20091121013306,24,2009-11-21 01:33:06+00:00,1676,ctfmon.exe,-0.09104195191224923,False,13
M57-Jean,LEVT-M57-Jean-PROCESS-1664-20091121013258,17,2009-11-21 01:32:58+00:00,1664,avgwdsvc.exe,-0.0910833512118695,False,14
M57-Jean,LEVT-M57-Jean-PROCESS-2132-20091121013311,27,2009-11-21 01:33:11+00:00,2132,avgemc.exe,-0.09364417680007214,False,15
M57-Jean,LEVT-M57-Jean-PROCESS-2028-20091121013242,15,2009-11-21 01:32:42+00:00,2028,AVGIDSAgent.exe,-0.10747498398345295,False,16
M57-Jean,LEVT-M57-Jean-PROCESS-208-20091123165519,34,2009-11-23 16:55:19+00:00,208,msimn.exe,-0.11122124259901273,False,17
M57-Jean,LEVT-M57-Jean-PROCESS-1356-20091121013448,32,2009-11-21 01:34:48+00:00,1356,avgcsrvx.exe,-0.1170448644980071,False,18
M57-Jean,LEVT-M57-Jean-PROCESS-1760-20091121013238,13,2009-11-21 01:32:38+00:00,1760,avgcsrvx.exe,-0.1170448644980071,False,19
M57-Jean,LEVT-M57-Jean-PROCESS-3996-20091121013335,31,2009-11-21 01:33:35+00:00,3996,alg.exe,-0.12078911000875087,False,20
M57-Jean,LEVT-M57-Jean-PROCESS-908-20091121013232,2,2009-11-21 01:32:32+00:00,908,csrss.exe,-0.12301775014303779,False,21
M57-Jean,LEVT-M57-Jean-PROCESS-1620-20091121013235,11,2009-11-21 01:32:35+00:00,1620,avgrsx.exe,-0.13208140279788494,False,22
M57-Jean,LEVT-M57-Jean-PROCESS-1612-20091121013235,10,2009-11-21 01:32:35+00:00,1612,avgchsvx.exe,-0.13938040369460225,False,23
M57-Jean,LEVT-M57-Jean-PROCESS-3196-20091123182209,38,2009-11-23 18:22:09+00:00,3196,avgsrmax.exe,-0.13938040369460225,False,24
M57-Jean,LEVT-M57-Jean-PROCESS-2576-20091123220845,40,2009-11-23 22:08:45+00:00,2576,iexplore.exe,-0.13938040369460225,False,25
M57-Jean,LEVT-M57-Jean-PROCESS-2004-20091123235245,45,2009-11-23 23:52:45+00:00,2004,avgcmgr.exe,-0.13938040369460225,False,26
M57-Jean,LEVT-M57-Jean-PROCESS-2308-20091123225441,44,2009-11-23 22:54:41+00:00,2308,avgcmgr.exe,-0.13938040369460225,False,27
M57-Jean,LEVT-M57-Jean-PROCESS-4028-20091123171439,37,2009-11-23 17:14:39+00:00,4028,iexplore.exe,-0.13938040369460225,False,28
M57-Jean,LEVT-M57-Jean-PROCESS-3992-20091123170451,36,2009-11-23 17:04:51+00:00,3992,iexplore.exe,-0.13938040369460225,False,29
M57-Jean,LEVT-M57-Jean-PROCESS-2488-20091121013317,30,2009-11-21 01:33:17+00:00,2488,avgcsrvx.exe,-0.13938040369460225,False,30
M57-Jean,LEVT-M57-Jean-PROCESS-2840-20091123170451,35,2009-11-23 17:04:51+00:00,2840,iexplore.exe,-0.13938040369460225,False,31
M57-Jean,LEVT-M57-Jean-PROCESS-1204-20091123165512,33,2009-11-23 16:55:12+00:00,1204,iexplore.exe,-0.13938040369460225,False,32
M57-Jean,LEVT-M57-Jean-PROCESS-2296-20091121013314,29,2009-11-21 01:33:14+00:00,2296,avgnsx.exe,-0.14204796879144038,False,33
M57-Jean,LEVT-M57-Jean-PROCESS-1508-20091121013305,22,2009-11-21 01:33:05+00:00,1508,avgtray.exe,-0.14231833018603124,False,34
M57-Jean,LEVT-M57-Jean-PROCESS-620-20091123235925,46,2009-11-23 23:59:25+00:00,620,cmd.exe,-0.14582559509854787,False,35
M57-Jean,LEVT-M57-Jean-PROCESS-2080-20091123221633,41,2009-11-23 22:16:33+00:00,2080,swriter.exe,-0.14891921711412776,False,36
M57-Jean,LEVT-M57-Jean-PROCESS-988-20091121013232,5,2009-11-21 01:32:32+00:00,988,lsass.exe,-0.14917373609274742,False,37
M57-Jean,LEVT-M57-Jean-PROCESS-2992-20091124000124,47,2009-11-24 00:01:24+00:00,2992,mdd_1.3.exe,-0.1499329784066485,False,38
M57-Jean,LEVT-M57-Jean-PROCESS-2244-20091121013313,28,2009-11-21 01:33:13+00:00,2244,avgam.exe,-0.15198186395799912,False,39
M57-Jean,LEVT-M57-Jean-PROCESS-3908-20091123221634,42,2009-11-23 22:16:34+00:00,3908,soffice.exe,-0.1529903124124946,False,40
M57-Jean,LEVT-M57-Jean-PROCESS-344-20091121013301,18,2009-11-21 01:33:01+00:00,344,jqs.exe,-0.1534073451646507,False,41
M57-Jean,LEVT-M57-Jean-PROCESS-1752-20091121013306,25,2009-11-21 01:33:06+00:00,1752,msmsgs.exe,-0.1614282626975495,False,42
M57-Jean,LEVT-M57-Jean-PROCESS-1996-20091121013242,14,2009-11-21 01:32:42+00:00,1996,spoolsv.exe,-0.16769633375871074,False,43
M57-Jean,LEVT-M57-Jean-PROCESS-1152-20091121013234,6,2009-11-21 01:32:34+00:00,1152,svchost.exe,-0.17215914742193983,False,44
M57-Jean,LEVT-M57-Jean-PROCESS-1432-20091121013235,9,2009-11-21 01:32:35+00:00,1432,svchost.exe,-0.1741690578092812,False,45
M57-Jean,LEVT-M57-Jean-PROCESS-1732-20091121013237,12,2009-11-21 01:32:37+00:00,1732,svchost.exe,-0.1783172301588412,False,46
M57-Jean,LEVT-M57-Jean-PROCESS-1248-20091121013234,7,2009-11-21 01:32:34+00:00,1248,svchost.exe,-0.1787323673982345,False,47
