case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,time_since_previous_event_seconds,temporal_anomaly_score,temporal_predicted_anomaly,temporal_anomaly_rank,shap_gap_log_seconds,shap_local_density_10s,shap_local_density_30s,shap_local_density_60s,shap_process_changed,value_gap_log_seconds,value_local_density_10s,value_local_density_30s,value_local_density_60s,value_process_changed
M57-Jean,LEVT-M57-Jean-PROCESS-3992-20091123170451,36,2009-11-23 17:04:51+00:00,3992,iexplore.exe,0.0,0.0662659038335485,True,1.0,0.004422197611697006,0.033775622281346555,0.03749655529825015,0.0369272286592035,0.07096094742583046,0.0,6,15,15,0
M57-Jean,LEVT-M57-Jean-PROCESS-2840-20091123170451,35,2009-11-23 17:04:51+00:00,2840,iexplore.exe,572.0,0.0327884061088914,True,2.0,0.03788632148152522,0.042652100059463835,0.039704337373614444,0.03836629705028024,-0.008504002413213026,6.35088571671474,6,15,15,1
M57-Jean,LEVT-M57-Jean-PROCESS-2004-20091123235245,45,2009-11-23 23:52:45+00:00,2004,avgcmgr.exe,3484.0,0.014502861912613,True,3.0,0.03505406609222165,0.004577760965599358,-0.007087869819129089,-0.007715267002194355,0.10699081911889483,8.156223323194624,8,14,14,0
M57-Jean,LEVT-M57-Jean-PROCESS-4028-20091123171439,37,2009-11-23 17:14:39+00:00,4028,iexplore.exe,588.0,0.0076434922566847,True,4.0,0.020805212113695477,0.02389893827679392,-0.0050367219879536,-0.005580195990278013,0.09087290728720614,6.3784261836515865,5,14,14,0
M57-Jean,LEVT-M57-Jean-PROCESS-1204-20091123165512,33,2009-11-23 16:55:12+00:00,1204,iexplore.exe,228024.0,0.0004556870757799,True,5.0,0.09937324702331897,0.030649846882018945,-0.00017231255483740398,-0.001626177871468637,-0.010452268960472664,12.33721055104836,5,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-1372-20091121013235,8,2009-11-21 01:32:35+00:00,1372,svchost.exe,1.0,-0.00045568707578,False,6.0,-0.00457291539228422,0.005047981751887989,0.010829001126422554,0.012867097113514555,0.0926897957674583,0.6931471805599453,34,34,34,0
M57-Jean,LEVT-M57-Jean-PROCESS-1248-20091121013234,7,2009-11-21 01:32:34+00:00,1248,svchost.exe,0.0,-0.0069913452962317,False,7.0,-0.010895309898130095,-0.004716633818830294,-5.512778562061138e-05,0.00022460724359705189,0.12576776640553128,0.0,32,32,32,0
M57-Jean,LEVT-M57-Jean-PROCESS-1432-20091121013235,9,2009-11-21 01:32:35+00:00,1432,svchost.exe,0.0,-0.0173293572378265,False,8.0,-0.022284075209490443,-0.0006813625687822015,0.00592463932303149,0.00793278083975815,0.10909530782043561,0.0,34,34,34,0
M57-Jean,LEVT-M57-Jean-PROCESS-1356-20091121013448,32,2009-11-21 01:34:48+00:00,1356,avgcsrvx.exe,73.0,-0.0333886425443239,False,9.0,0.08185584964471765,-0.0027031848854993223,0.009180076211526559,0.007723290066694057,-0.012128026138983635,4.30406509320417,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-908-20091121013232,2,2009-11-21 01:32:32+00:00,908,csrss.exe,2.0,-0.0450210143880711,False,10.0,0.01160037386941688,0.015833084731298522,0.027197023198367237,0.029065393924661866,-0.011400242669036428,1.0986122886681098,34,34,34,1
M57-Jean,LEVT-M57-Jean-PROCESS-208-20091123165519,34,2009-11-23 16:55:19+00:00,208,msimn.exe,7.0,-0.0471848183274699,False,11.0,0.01771358777014421,0.05097222397904928,0.006282895513542138,0.006730088481891745,-0.011566966629318026,2.079441541679836,5,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-2892-20091123220335,39,2009-11-23 22:03:35+00:00,2892,firefox.exe,13286.0,-0.0766214928861078,False,12.0,0.07099953482804883,0.004407679944623014,-0.010964217036287485,-0.010157661339023641,-0.01359018184068931,9.494541392591309,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-3196-20091123182209,38,2009-11-23 18:22:09+00:00,3196,avgsrmax.exe,4050.0,-0.0856960673646612,False,13.0,0.031069651328270217,0.03460107463712368,-0.01095723310522011,-0.010455367191511088,-0.012637545590544804,8.30671904320269,5,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-1572-20091121013258,16,2009-11-21 01:32:58+00:00,1572,svchost.exe,16.0,-0.0932323550985222,False,14.0,0.047165377934678246,-0.01033421036511645,0.0013775277555798232,0.00045911121814989464,-0.014583514199034392,2.833213344056216,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-3996-20091121013335,31,2009-11-21 01:33:35+00:00,3996,alg.exe,18.0,-0.0936470038739339,False,15.0,0.04234579654835269,-0.008453583783199128,0.00257650656330146,0.0005004000285672801,-0.013299475788176977,2.9444389791664403,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-3560-20091123221635,43,2009-11-23 22:16:35+00:00,3560,soffice.bin,1.0,-0.0986439546389563,False,17.0,0.00841156807769964,0.015348707317704036,0.004254608462126705,0.005093596545944232,-0.014435787599651742,0.6931471805599453,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-3908-20091123221634,42,2009-11-23 22:16:34+00:00,3908,soffice.exe,1.0,-0.0986439546389563,False,16.0,0.00863052520636965,0.015288586295356395,0.004218175255341365,0.004872846914409426,-0.01433744086765396,0.6931471805599453,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-1504-20091121013305,21,2009-11-21 01:33:05+00:00,1504,hkcmd.exe,4.0,-0.1092657425276655,False,18.0,0.008904021389423592,-0.0021410458307171776,0.007545156981941268,0.007639244558593746,-0.013896472184127819,1.6094379124341005,33,33,33,1
M57-Jean,LEVT-M57-Jean-PROCESS-344-20091121013301,18,2009-11-21 01:33:01+00:00,344,jqs.exe,3.0,-0.1252008554063287,False,19.0,-0.0019599179041263196,-0.0030010547437429023,0.005522775599902466,0.005845284854143178,-0.01429129576972586,1.3862943611198906,33,33,33,1
M57-Jean,LEVT-M57-Jean-PROCESS-2308-20091123225441,44,2009-11-23 22:54:41+00:00,2308,avgcmgr.exe,2286.0,-0.1414586597682306,False,20.0,0.028768355330887486,-0.0007131534316154609,-0.019058267302957278,-0.01789796210815672,-0.015240984813609342,7.734996194022781,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-2992-20091124000124,47,2009-11-24 00:01:24+00:00,2992,mdd_1.3.exe,119.0,-0.1472956807149563,False,21.0,0.02276902842732634,-0.0018919382987761036,-0.01857874775877146,-0.016906253034580505,-0.015371122607375222,4.787491742782046,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-932-20091121013232,3,2009-11-21 01:32:32+00:00,932,winlogon.exe,0.0,-0.1600125425266869,False,22.0,-0.041774947334451265,-0.002031187699974249,0.006790813139238964,0.009764775410306105,-0.015445348599027102,0.0,34,34,34,1
M57-Jean,LEVT-M57-Jean-PROCESS-976-20091121013232,4,2009-11-21 01:32:32+00:00,976,services.exe,0.0,-0.1600125425266869,False,23.0,-0.04067449344432453,-0.002080850778333227,0.00667560075070524,0.009208334759436864,-0.015824486371391885,0.0,34,34,34,1
M57-Jean,LEVT-M57-Jean-PROCESS-1620-20091121013235,11,2009-11-21 01:32:35+00:00,1620,avgrsx.exe,0.0,-0.1600125425266869,False,26.0,-0.041066810393364565,-0.002134033887873576,0.006268843714767591,0.00982117505571306,-0.015585069573150062,0.0,34,34,34,1
M57-Jean,LEVT-M57-Jean-PROCESS-988-20091121013232,5,2009-11-21 01:32:32+00:00,988,lsass.exe,0.0,-0.1600125425266869,False,24.0,-0.040784029098362894,-0.002319066484057716,0.005965472007709687,0.009682402638684475,-0.015240674147881099,0.0,34,34,34,1
M57-Jean,LEVT-M57-Jean-PROCESS-1612-20091121013235,10,2009-11-21 01:32:35+00:00,1612,avgchsvx.exe,0.0,-0.1600125425266869,False,25.0,-0.04154387833322432,-0.0016215331676475947,0.006410332022365379,0.009440143227760949,-0.015380958833161963,0.0,34,34,34,1
M57-Jean,LEVT-M57-Jean-PROCESS-1796-20091121013301,19,2009-11-21 01:33:01+00:00,1796,avgfws9.exe,0.0,-0.1615379496688004,False,27.0,-0.023263789805339302,-0.007978431949721481,0.0007500304287164402,0.0016225372067574656,-0.015351648106434381,0.0,33,33,33,1
M57-Jean,LEVT-M57-Jean-PROCESS-1528-20091121013305,23,2009-11-21 01:33:05+00:00,1528,jusched.exe,0.0,-0.1615379496688004,False,30.0,-0.02338669905082484,-0.008007154522422526,0.000809095694820975,0.0016491243331880642,-0.015285668680782936,0.0,33,33,33,1
M57-Jean,LEVT-M57-Jean-PROCESS-1944-20091121013301,20,2009-11-21 01:33:01+00:00,1944,explorer.exe,0.0,-0.1615379496688004,False,28.0,-0.02335158894333449,-0.008009414426898495,0.0007944401230317668,0.0016435444323129504,-0.015298283411132995,0.0,33,33,33,1
M57-Jean,LEVT-M57-Jean-PROCESS-1508-20091121013305,22,2009-11-21 01:33:05+00:00,1508,avgtray.exe,0.0,-0.1615379496688004,False,29.0,-0.02333274339697473,-0.007921333159990631,0.0008863228068972845,0.0015000546031498675,-0.015353603079103051,0.0,33,33,33,1
M57-Jean,LEVT-M57-Jean-PROCESS-1760-20091121013238,13,2009-11-21 01:32:38+00:00,1760,avgcsrvx.exe,1.0,-0.1623320505994451,False,31.0,-0.015879455731320102,-0.010916232522238686,-0.0007695879698527221,-0.0024208309864618433,-0.015029295946792412,0.6931471805599453,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-2296-20091121013314,29,2009-11-21 01:33:14+00:00,2296,avgnsx.exe,1.0,-0.1623320505994451,False,32.0,-0.016105712040652188,-0.010682233442063297,-0.0008068857066874558,-0.0021717026188774646,-0.015248869348385359,0.6931471805599453,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-1996-20091121013242,14,2009-11-21 01:32:42+00:00,1996,spoolsv.exe,4.0,-0.1673289198929045,False,33.0,-0.005237797864716837,-0.015423604134531225,-0.0053840201713761795,-0.007392082728603418,-0.016574767550897547,1.6094379124341005,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-2576-20091123220845,40,2009-11-23 22:08:45+00:00,2576,iexplore.exe,310.0,-0.170881461652548,False,34.0,0.012197168815544649,-0.004692489950056781,-0.022847419468742917,-0.022093604860186248,-0.016128468746327312,5.739792912179234,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-2080-20091123221633,41,2009-11-23 22:16:33+00:00,2080,swriter.exe,468.0,-0.1741239460643428,False,35.0,0.009842197215627967,-0.004814186157369218,-0.02334229039615822,-0.02252107563292026,-0.015971943650743954,6.150602768446279,8,14,14,1
